#NSGA2
popsize 50
maxGen 20
numVar 8
numObj 2
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 20
currentGen	1
evaluateCount	50
totalTime	3.32169
firstFrontCount	1
frontCount	50
avgEvalTime	0.0650438
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
859.105	751.338	272.066	210.971	392.129	349.293	355.712	63.9183	1.6891	669.581	0	0	0	0	0	0	
859.105	751.338	272.066	110.134	189.696	367.999	402.046	63.9183	1.739	740.15	0	0	0	0	0	0	
449.123	720.478	791.738	192.834	220.492	422.272	673.39	946.121	1.74535	751.691	0	0	0	0	0	0	
449.123	757.642	791.738	430.942	220.492	422.272	673.39	854.592	1.73416	776.305	0	0	0	0	0	0	
744.192	859.893	732.038	145.202	430.601	562.013	329.804	607.96	1.82051	806.193	0	0	0	0	0	0	
859.105	751.338	272.066	309.35	392.129	349.293	355.712	63.9183	1.74419	667.042	0	0	0	0	0	0	
913.673	121.398	507.842	243.06	367.486	355.366	438.1	638.5	1.6548	679.278	0	0	0	0	0	0	
389.039	720.478	791.738	91.7958	0	491.838	635.677	881.689	1.78431	806.787	0	0	0	0	0	0	
963.655	604.189	806.432	346.586	420.428	731.662	782.333	568.492	1.66301	711.363	0	0	0	0	0	0	
882.189	604.189	806.432	82.2876	420.428	788.091	673.948	568.492	1.52566	611.087	0	0	0	0	0	0	
767.943	763.911	376.4	825.732	171.742	403.817	639.799	843.646	1.72545	659.035	0	0	0	0	0	0	
296.941	521.873	660.399	314.945	142.837	211.071	362.868	251.236	1.57024	598.277	0	0	0	0	0	0	
984.119	649.77	159.119	368.968	189.696	367.999	277.693	95.3971	1.77571	626.956	0	0	0	0	0	0	
444.89	470.514	96.0143	397.325	476.468	365.531	413.817	357.744	1.86803	776.744	0	0	0	0	0	0	
264.866	587.082	552.277	237.689	353.697	786.731	614.745	784.694	1.78	742.551	0	0	0	0	0	0	
963.655	513.991	729.543	241.359	287.789	766.297	478.676	933.821	1.74245	696.895	0	0	0	0	0	0	
854.05	425.584	788.52	428.479	380.925	192.52	194.581	785.969	1.65295	672.273	0	0	0	0	0	0	
264.866	633.246	552.277	340.983	594.062	786.731	596.861	919.752	1.64167	614.154	0	0	0	0	0	0	
471.776	193.799	237.082	525.898	181.021	514.206	464.766	272.467	1.71858	677.655	0	0	0	0	0	0	
786.173	87.1129	272.066	210.971	387.737	454.357	398.452	63.9183	1.48804	545.029	0	0	0	0	0	0	
363.494	910.918	518.555	105.278	328.119	472.347	442.708	841.68	1.82609	718.645	0	0	0	0	0	0	
192.354	750.613	728.435	340.489	56.91	220.926	275.199	251.236	1.57994	662.692	0	0	0	0	0	0	
854.05	236.64	672.428	428.479	471.959	403.075	315.321	825.169	1.64822	680.215	0	0	0	0	0	0	
748.979	195.668	613.459	145.202	430.601	604.532	416.085	881.043	1.68769	702.782	0	0	0	0	0	0	
885.044	419.558	497.579	299.714	250.473	528.834	386.165	0	1.60969	628.975	0	0	0	0	0	0	
885.044	385.087	497.579	299.714	250.473	494.891	385.684	0	1.68359	690.876	0	0	0	0	0	0	
878.671	121.398	557.155	243.06	433.705	612.241	438.1	638.5	1.68738	609.268	0	0	0	0	0	0	
913.673	264.139	788.051	243.06	367.486	565.851	729.836	638.5	1.85138	746.767	0	0	0	0	0	0	



#Generation 4 / 20
currentGen	4
evaluateCount	200
totalTime	12.8294
firstFrontCount	1
frontCount	41
avgEvalTime	0.0543577
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
546.843	517.621	376.223	201	476.468	584.938	676.258	972.161	1.69277	691.297	0	0	0	0	0	0	
857.045	661.632	272.066	200.611	336.598	349.293	436.814	429.519	1.83504	767.832	0	0	0	0	0	0	
817.293	675.756	422.121	366.98	392.129	349.587	355.712	583.064	1.58468	680.305	0	0	0	0	0	0	
859.105	751.338	422.121	234.876	392.129	349.293	355.712	583.064	1.7879	730.49	0	0	0	0	0	0	
859.105	854.124	678.814	234.876	392.129	349.293	363.263	573.481	1.93747	774.395	0	0	0	0	0	0	
803.749	764.94	272.066	227.614	392.129	349.293	436.814	517.123	1.76866	707.411	0	0	0	0	0	0	
859.105	764.94	272.066	200.611	392.129	349.293	436.814	429.519	1.72979	696.513	0	0	0	0	0	0	
767.943	763.911	645.572	232.358	171.742	323.393	272.099	899.759	1.64971	650.584	0	0	0	0	0	0	
842.768	751.338	422.121	234.876	410.576	349.293	434.153	583.064	1.72867	723.161	0	0	0	0	0	0	
807.033	656.533	609.641	574.581	300.876	224.798	258.354	727.496	1.62586	647.681	0	0	0	0	0	0	
824.224	656.533	596.467	233.364	322.641	354.175	258.354	727.496	1.56455	665.544	0	0	0	0	0	0	
807.033	656.533	596.467	412.292	332.665	224.798	258.354	727.496	1.55263	619.356	0	0	0	0	0	0	
546.843	517.621	376.223	201	476.468	365.531	676.258	854.552	1.90476	686.804	0	0	0	0	0	0	
546.843	517.621	376.223	201	476.468	365.531	700.919	854.552	1.4682	542.683	0	0	0	0	0	0	
546.843	517.621	376.223	201	476.468	365.531	676.258	854.552	1.66026	638.82	0	0	0	0	0	0	
859.105	764.94	272.066	234.751	392.129	279.938	436.814	429.519	1.84278	743.429	0	0	0	0	0	0	
845.024	751.338	422.121	269.512	392.129	265.283	355.712	337.926	1.78522	729.076	0	0	0	0	0	0	
963.655	929.645	806.432	241.359	171.962	766.297	613.46	933.821	1.68213	672.264	0	0	0	0	0	0	
546.843	597.808	376.223	35.1783	476.468	365.531	676.258	854.552	1.6789	621.172	0	0	0	0	0	0	
546.843	541.248	96.0143	264.145	329.905	365.531	384.523	903.968	1.67111	668.658	0	0	0	0	0	0	
412.427	521.873	561.1	275.304	112.441	211.071	275.199	251.236	1.63575	656.692	0	0	0	0	0	0	
940.362	859.893	801.547	145.202	508.527	562.013	373.345	607.96	1.66173	666.823	0	0	0	0	0	0	
797.504	680.625	422.121	234.876	544.699	349.293	355.712	562.945	1.76672	678.536	0	0	0	0	0	0	
963.655	604.189	806.432	241.359	199.156	766.297	782.333	933.821	1.86306	740.619	0	0	0	0	0	0	
963.655	604.189	806.432	241.359	199.156	766.297	810.113	959.063	1.74642	646.474	0	0	0	0	0	0	
958.7	604.189	806.432	233.845	199.156	671.619	782.333	933.821	1.56485	643.097	0	0	0	0	0	0	
963.655	604.189	806.432	241.359	199.156	348.788	810.113	959.063	1.68821	703.493	0	0	0	0	0	0	
600.378	751.338	422.121	234.876	392.129	361.684	336.941	959.137	1.80747	662.983	0	0	0	0	0	0	
767.943	763.911	617.865	825.732	171.742	212.021	272.099	899.759	1.70114	683.367	0	0	0	0	0	0	
744.192	859.893	801.547	374.089	451.704	359.262	373.345	607.96	1.57126	595.178	0	0	0	0	0	0	
1000	725.121	617.865	205.864	436.61	212.021	272.099	900.38	1.67076	667.297	0	0	0	0	0	0	
963.655	604.189	806.432	333.015	199.156	766.297	957.473	933.821	1.65577	620.944	0	0	0	0	0	0	
744.192	859.893	801.547	167.181	430.601	488.639	373.345	607.96	1.68545	680.691	0	0	0	0	0	0	
836.972	908.969	806.432	241.359	171.962	766.297	601.78	933.821	1.44056	595.723	0	0	0	0	0	0	
546.843	483.438	109.029	201	476.468	365.531	896.805	854.552	1.42853	589.239	0	0	0	0	0	0	
1000	751.338	270.155	420.514	361.343	265.283	355.712	433.841	1.69757	672.545	0	0	0	0	0	0	
546.843	517.621	96.0143	233.131	476.468	365.531	384.523	946.778	1.71834	758.19	0	0	0	0	0	0	
546.843	517.621	96.0143	233.131	476.468	365.531	384.523	739.162	1.87979	798.817	0	0	0	0	0	0	
859.834	517.621	96.0143	233.131	476.468	353.14	384.523	570.705	1.90607	778.548	0	0	0	0	0	0	
444.89	504.697	363.208	397.325	476.468	365.531	413.817	357.744	1.66082	611.702	0	0	0	0	0	0	
296.941	521.873	561.1	240.668	56.91	211.071	275.199	521.666	1.68244	635.082	0	0	0	0	0	0	
500.892	517.621	96.0143	233.131	476.468	365.531	384.523	946.778	1.67556	686.528	0	0	0	0	0	0	
894.149	650.202	422.121	234.876	632.493	349.293	417.661	718.122	1.71172	701.092	0	0	0	0	0	0	
767.943	763.911	617.865	825.732	171.742	348.975	272.099	899.759	1.67482	668.162	0	0	0	0	0	0	
787.358	736.39	617.865	825.732	289.721	212.021	272.099	899.759	1.67074	670.701	0	0	0	0	0	0	
296.941	521.873	561.1	275.304	56.91	211.071	275.199	251.236	1.6805	668.409	0	0	0	0	0	0	
891.1	513.991	391.688	241.359	287.789	766.297	475.22	933.821	1.72055	680.923	0	0	0	0	0	0	
744.192	859.893	930.852	167.181	430.601	488.639	373.345	588.205	1.48583	587.102	0	0	0	0	0	0	
744.192	859.893	801.547	145.202	430.601	562.013	373.345	607.96	1.69784	695.279	0	0	0	0	0	0	
744.192	859.893	801.547	145.202	430.601	562.013	373.345	607.96	1.47944	598.292	0	0	0	0	0	0	



#Generation 5 / 20
currentGen	5
evaluateCount	250
totalTime	15.5514
firstFrontCount	1
frontCount	40
avgEvalTime	0.0535095
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
781.251	631.527	376.223	201	476.468	584.938	676.258	964.293	1.6556	645.387	0	0	0	0	0	0	
546.843	517.621	376.223	201	476.468	584.938	676.258	972.161	1.69277	691.297	0	0	0	0	0	0	
546.843	475.072	376.223	225.002	434.408	584.938	676.258	976.052	1.69227	696.327	0	0	0	0	0	0	
767.943	763.911	617.865	554.627	171.742	212.021	272.099	970.879	1.72653	649.781	0	0	0	0	0	0	
859.105	751.338	483.815	209.807	283.547	349.293	355.712	588.737	1.81923	729.364	0	0	0	0	0	0	
857.045	661.632	272.066	200.611	336.598	349.293	436.814	429.519	1.83504	767.832	0	0	0	0	0	0	
803.749	764.94	295.577	199.805	392.129	376.507	427.127	517.123	1.86911	711.905	0	0	0	0	0	0	
751.177	751.338	681.764	269.512	228.962	317.804	355.712	337.926	1.61305	671.178	0	0	0	0	0	0	
859.105	751.338	417.73	234.876	392.129	357.343	358.882	681.064	1.61173	652.307	0	0	0	0	0	0	
817.293	675.756	422.121	366.98	392.129	349.587	355.712	583.064	1.58468	680.305	0	0	0	0	0	0	
859.105	751.338	422.121	234.876	392.129	349.293	355.712	583.064	1.7879	730.49	0	0	0	0	0	0	
859.105	854.124	678.814	234.876	392.129	349.293	363.263	573.481	1.93747	774.395	0	0	0	0	0	0	
803.749	764.94	272.066	227.614	392.129	349.293	436.814	517.123	1.76866	707.411	0	0	0	0	0	0	
859.105	751.338	422.121	269.8	392.129	349.293	355.712	583.064	1.74462	740.043	0	0	0	0	0	0	
859.105	751.338	531.863	234.876	392.129	349.293	524.85	703.585	1.72324	707.387	0	0	0	0	0	0	
859.105	764.94	272.066	200.611	392.129	349.293	436.814	429.519	1.72979	696.513	0	0	0	0	0	0	
767.943	763.911	645.572	232.358	171.742	323.393	272.099	899.759	1.64971	650.584	0	0	0	0	0	0	
767.943	763.911	645.572	277.759	171.742	323.393	272.099	899.759	1.72378	690.058	0	0	0	0	0	0	
842.768	751.338	422.121	234.876	410.576	349.293	434.153	583.064	1.72867	723.161	0	0	0	0	0	0	
767.943	751.762	385.929	232.358	334.908	270.872	272.099	962.378	1.72918	683.987	0	0	0	0	0	0	
504.359	517.621	479.615	309.892	263.283	732.121	676.258	972.161	1.63582	616.41	0	0	0	0	0	0	
